Airline,Airport,Serves,Nickname
"Aeroméxico Connect","Guadalajara International Airport","Guadalajara, Jalisco",GDL
"Aeroméxico Connect","Del Bajío International Airport","The State of Guanajuato including León's metropolitan area",BJX
"Aeroméxico Connect","Mérida International Airport","Mérida",MID
"Aeroméxico Connect","Monterrey International Airport","Monterrey, Nuevo Leon",MTY
"Aeroméxico Connect","Querétaro Intercontinental Airport","Querétaro",QRO
"Air Canada Express","Toronto Pearson International Airport","Greater Toronto Area",YYZ
"Air France","Charles de Gaulle Airport","Paris",CDG
"Air France","Pointe-à-Pitre International Airport","Pointe-à-Pitre",PTP
"Alaska Airlines","Seattle–Tacoma International Airport","Seattle",SEA
"Alaska Airlines","Portland International Airport","Portland metropolitan area",PDX
"American Airlines","Charlotte Douglas International Airport","Charlotte metropolitan area",CLT
"American Airlines","O'Hare International Airport","Chicago",ORD
"American Airlines","Dallas/Fort Worth International Airport","Dallas–Fort Worth metroplex",DFW
"American Airlines","Los Angeles International Airport","Greater Los Angeles Area",LAX
"American Airlines","Miami International Airport","Greater Miami",MIA
"American Airlines","LaGuardia Airport","New York metropolitan area",LGA
"American Airlines","Philadelphia International Airport","Delaware Valley",PHL
"American Airlines","Phoenix Sky Harbor International Airport","Phoenix metropolitan area",PHX
"American Eagle","Charlotte Douglas International Airport","Charlotte metropolitan area",CLT
"American Eagle","O'Hare International Airport","Chicago",ORD
"American Eagle","Miami International Airport","Greater Miami",MIA
"American Eagle","LaGuardia Airport","New York metropolitan area",LGA
"American Eagle","Ronald Reagan Washington National Airport","Washington metropolitan area",DCA
"Boutique Air","Northwest Alabama Regional Airport","Muscle Shoals, Alabama",MSL
"British Airways","Heathrow Airport","London",LHR
"Delta Air Lines","Akron–Canton Airport","Akron, Ohio",CAK
"Delta Air Lines","Albany International Airport","Albany",ALB
"Delta Air Lines","Albuquerque International Sunport","Albuquerque, New Mexico",ABQ
"Delta Air Lines","Lehigh Valley International Airport","Lehigh Valley",ABE
"Delta Air Lines","Amsterdam Airport Schiphol","Amsterdam",AMS
"Delta Air Lines","Appleton International Airport","Appleton, Wisconsin",ATW
"Delta Air Lines","Queen Beatrix International Airport","Appleton, Wisconsin",AUA
"Delta Air Lines","Asheville Regional Airport","Asheville, North Carolina",AVL
"Delta Air Lines","Augusta Regional Airport","Augusta, Georgia",AGS
"Delta Air Lines","Austin–Bergstrom International Airport","Greater Austin",AUS
"Delta Air Lines","Baltimore–Washington International Airport","Baltimore–Washington metropolitan area",BWI
"Delta Air Lines","Baton Rouge Metropolitan Airport","Baton Rouge, Louisiana",BTR
"Delta Air Lines","Philip S. W. Goldson International Airport","Belize City",BZE
"Delta Air Lines","L.F. Wade International Airport","Bermuda",BDA
"Delta Air Lines","Birmingham–Shuttlesworth International Airport","Birmingham, Alabama",BHM
"Delta Air Lines","El Dorado International Airport","Birmingham, Alabama",BOG
"Delta Air Lines","Flamingo International Airport","Bonaire",BON
"Delta Air Lines","Logan International Airport","Boston",BOS
"Delta Air Lines","Brussels Airport","Brussels",BRU
"Delta Air Lines","Ministro Pistarini International Airport","Buenos Aires",EZE
"Delta Air Lines","Buffalo Niagara International Airport","Buffalo metropolitan area",BUF
"Delta Air Lines","Cancún International Airport","Cancún",CUN
"Delta Air Lines","Rafael Núñez International Airport","Cartagena, Colombia",CTG
"Delta Air Lines","The Eastern Iowa Airport","Cedar Rapids",CID
"Delta Air Lines","Charleston International Airport","Cedar Rapids",CHS
"Delta Air Lines","Yeager Airport","Charleston, West Virginia",CRW
"Delta Air Lines","Charlotte Douglas International Airport","Charlotte metropolitan area",CLT
"Delta Air Lines","Charlottesville–Albemarle Airport","Charlottesville, Virginia",CHO
"Delta Air Lines","Chattanooga Metropolitan Airport","Chattanooga, Tennessee",CHA
"Delta Air Lines","Midway International Airport","Chicago",MDW
"Delta Air Lines","O'Hare International Airport","Chicago",ORD
"Delta Air Lines","Cincinnati/Northern Kentucky International Airport","Cincinnati",CVG
"Delta Air Lines","Cleveland Hopkins International Airport","Cleveland",CLE
"Delta Air Lines","Colorado Springs Airport","Colorado Springs, Colorado",COS
"Delta Air Lines","Columbia Metropolitan Airport","Columbia, South Carolina",CAE
"Delta Air Lines","John Glenn Columbus International Airport","Columbia, South Carolina",CMH
"Delta Air Lines","Cozumel International Airport","Columbia, South Carolina",CZM
"Delta Air Lines","Dallas Love Field","Dallas–Fort Worth–Arlington",DAL
"Delta Air Lines","Dallas/Fort Worth International Airport","Dallas–Fort Worth metroplex",DFW
"Delta Air Lines","Dayton International Airport","Dallas–Fort Worth metroplex",DAY
"Delta Air Lines","Daytona Beach International Airport","Daytona Beach",DAB
"Delta Air Lines","Denver International Airport","Denver",DEN
"Delta Air Lines","Des Moines International Airport","Des Moines, Iowa",DSM
"Delta Air Lines","Detroit Metropolitan Airport","Detroit",DTW
"Delta Air Lines","Düsseldorf Airport","Düsseldorf",DUS
"Delta Air Lines","El Paso International Airport","El Paso, Texas",ELP
"Delta Air Lines","Evansville Regional Airport","Evansville, Indiana",EVV
"Delta Air Lines","Northwest Arkansas Regional Airport","Northwest Arkansas",XNA
"Delta Air Lines","Fayetteville Regional Airport","North Carolina",FAY
"Delta Air Lines","Bishop International Airport","Flint, Michigan",FNT
"Delta Air Lines","Fort Lauderdale–Hollywood International Airport","Greater Miami",FLL
"Delta Air Lines","Southwest Florida International Airport","Fort Myers",RSW
"Delta Air Lines","Destin–Fort Walton Beach Airport","Fort Walton Beach",VPS
"Delta Air Lines","Frankfurt Airport","Frankfurt",FRA
"Delta Air Lines","Gainesville Regional Airport","Gainesville, Florida",GNV
"Delta Air Lines","Exuma International Airport","Great Exuma",GGT
"Delta Air Lines","Owen Roberts International Airport","Great Exuma",GCM
"Delta Air Lines","Gerald R. Ford International Airport","Grand Rapids, Michigan",GRR
"Delta Air Lines","Piedmont Triad International Airport","Greensboro, High Point, and Winston-Salem, North Carolina",GSO
"Delta Air Lines","Greenville–Spartanburg International Airport","Upstate South Carolina",GSP
"Delta Air Lines","Guadalajara International Airport","Guadalajara, Jalisco",GDL
"Delta Air Lines","La Aurora International Airport","Guatemala City",GUA
"Delta Air Lines","Gulfport–Biloxi International Airport","Gulfport–Biloxi metropolitan area",GPT
"Delta Air Lines","Harrisburg International Airport","Harrisburg, Pennsylvania",MDT
"Delta Air Lines","Bradley International Airport","Hartford County, Connecticut",BDL
"Delta Air Lines","José Martí International Airport","Havana",HAV
"Delta Air Lines","Daniel K. Inouye International Airport","Honolulu",HNL
"Delta Air Lines","William P. Hobby Airport","Houston–The Woodlands–Sugar Land",HOU
"Delta Air Lines","George Bush Intercontinental Airport","Greater Houston",IAH
"Delta Air Lines","Huntsville International Airport","Huntsville, Alabama",HSV
"Delta Air Lines","Indianapolis International Airport","Indianapolis, Indiana",IND
