Name, Title
Adam Back,CEO and Cofounder of Blockstream
Brian Armstrong,CEO and Co-founder of Coinbase
Roger Ver,Early investor in Bitcoin- Blockchain.info- and BitPay
Barry Silbert,Founder and CEO- Digital Currency Group
Nejc Kodrič,CEO and Cofounder at Bitstamp
David Bailey,CEO at BTC Media
Adam Ludwin,CEO and Co-founder at Chain
Tony Gallippi,Cofounder and Executive Chairman at BitPay
Mike Belshe,CEO and Co-founder of Bitgo
Jesse Powell,CEO at Kraken
Pete Rizzo,Editor for Coindesk
Meltem Demirors,‎Director at Digital Currency Group
Kathleen Breitman,Cofounder and CEO of Tezos
Fred Ehrsam,Co-founder of Coinbase
Charlie Lee,Creator of Litecoin
Ron Hose,Founder and CEO at Coins.ph
Olivia Wang,Vice President- Zhenfund
Nick Tomaino,Founder of 1confirmation
Kyle Torpey,Freelance Bitcoin Writer
Olaf Carlson-Wee,Founder of Polychain Capital
Balaji S. Srinivasan,CEO of Earn.com and Board Partner at Andreessen Horowitz
Anthony Di Iorio,CEO & Founder at Jaxx and Decentral- Founder at Ethereum
Matthew Roszak,Co-Founder & Chairman at Bloq
Pablo Gonzalez,CEO & Co-founder of Bitso
Dan Elitzer,Blockchain and Digital Identity Lead at IDEO
Marc Andreessen,General Partner at Andreessen Horowitz
Naval Ravikant,Cofounder and CEO- AngelList
eragmus,Moderator of r/bitcoin
Bill Lee,Early investor in SpaceX- Tesla- and Bitcoin
Gavin Andresen,Software Guy
Peter Berg,Visa Inc. - Venture Investing & Strategic Partnerships
The Control,The most important information on blockchains
Luis Cuende,Co-Founder- Project Lead at Aragon
Brock Pierce,Managing Partner- Blockchain Capital & Chairman- Bitcoin Foundation
Erik Voorhees,CEO of ShapeShift.io
Ben Davenport,Co-founder of BitGo
Chris Dixon,General Partner at Andreessen Horowitz
Adam White,Head of GDAX
Diego Gutierrez Zaldivar,CEO & Co-founder at RSK Labs- President Bitcoin Argentina & Latam NGOs- Co-founder Koibanx
Zooko Wilcox,Founder & CEO- Zcash
Vladimir Stantchev,CEO- Partner and University Professor
kumar gaurav,Founder at Cashaa | Chairman Auxesis Group
Alexander Chopan,Head of Strategy - Dash Core Team  (cryptocurrency)
Liam Horne,Thiel Fellow- Director of Engineering at Atomic
Eric Piscini,Principal at Deloitte
Jameson Lopp,Software Engineer
Ivan Brightly,COO at SolidX Partners
Ryan Selkis,Managing Director- CoinDesk
Eli Dourado,Head of Global Policy and Communications
Michael Goldstein,President of Satoshi Nakamoto Institute
Preston J Byrne,Independent Consultant
Bill Barhydt,CEO- Abra
Chandler Guo,Angel Investor & Advisor
Justin W Newton,CEO and Founder of Netki
John Bailon,CEO and Co-founder of SCI
Sergio Demian Lerner,Chief Scientist- RSK Labs
Andrew Lee,CEO of Purse.io
Meinhard Benn,CEO at SatoshiPay
Paul Veradittakit,Partner at Pantera Capital
Stephen Pair,Cofounder- President- and CEO at Bitpay
Shawn Wilkinson,CEO/CTO of Storj Labs Inc.
Bobby Lee,CEO & Co-Founder- BTCC
Elizabeth Stark,CEO & Co-Founder- Lightning
Cameron Winklevoss,President of Gemini Trust Company
Tyler Howard Winklevoss,Gemini- CEO
Jacob Cohen Donnelly,Director of Marketing at Coindesk
Nicholas Abouzeid,Product Hunt & BitcoinMagazine
Xiaolai Li,Founder
Eric Meltzer,Partner
James Haft,Founder at Pacific Alliance Limited- LLC
Elaine Ou,Software Engineer
Brendan Eich,COO of ShapeShift.io
Adam Draper,Director- Co-founder-COO -UNOCOIN TECHNOLOGIES PVT LTD
Jon ShapeShift,Founder & CEO Skuchain- Inc.
Harish BV,CEO of Streami Inc.
Srinivasan Sriram,Co-founder at Colu
Junhaeng Lee,CEO and co-founder- Chainalysis
Mark Smargon,CEO of Bitmark Inc.
Michael Gronager, PhD,Founder at Skuchain
Sean Moss-Pultz,Founder at Melotic
Zaki Manian,Cofounder at Chainalysis
Jack Wang,Blockchain/Compliance/Fintech Executive & Advisor
Jonathan Levin,Advisory Board- Mirror Labs
Juan Llanos,CEO at Quantave
Byron Gibson,Product Lead- BitPesa
Paul Gordon,Co-Founder & CMO @BigchainDB | @ascribeIO
Min-si Wang,Chairman- Israeli Bitcoin Association
Masha McConaghy,Cofounder at Mifiel
Meni Rosenfeld,Chief Strategy Officer
Hannah Kim,Blockchain Fellow- Energy Web Foundation
Josiah Hernandez,CTO at KeepKey
Garrett MacDonald,Corporate Venturing & Blockchain Lead at Deloitte
Ken Hodler,Mr.
Alex Shelkovnikov,Webmaster/Company Owner
Richard Li,Cryptocurrency mining pools/Webmaster/CEO & FOUNDER.
Rıdvan Oral,Management motels
Josh Olszewicz,Software Engineer at NexTekk
Yorman Alfonzo,Founder & CEO
Vu Kim Hoang,Blockchain Serial Founder- Crypto Asset Strategy
Victor Ogudu,CEO
Fabio Federici,CEO Spark Public Relations
PK Rasam,Mr
Shawn Owen,Head of UX/Frontend at Melonport.com
Alan Soucy,Co-Founder- CEO at Blockpit GmbH
Mohd Hafizuddin Abdullah,Try a help with p2p- p2h- php and all kind of mining computer.
Simon Emanuel Schmid,Senior Bitcoin/Blockchain Developer and Trader
Florian Wimmer,Chief Executive Officer at BooksTime
Pripio Nimbre,linguist
Erkan Demirel,ICO Advisor at LAToken
Jesse Gildesgame,Technology Investment Banking
maryaim hakim,Medical Doctor
Arseniy Strizhenok,Owner
Anurag Gogineni,Just a geek- eager to learn
Erkam CAYMAZ,Endurance Technologist
Lesley Gibson,CEO
Stefano P.,Professional Gambler and Crypto Currency Investor
Jogger Joel,Global Practice Head - Analytics & Blockchain
Henricus Louwhoff,Member of Council at NEM Foundation
Ryan Daut,coder / entrepreneur / investor
Ramesh Babu,Blockchain builder- sometime investor
Albert Castellana Lluis,Musician
Drew Volpe,Assistan Manager
Charley Hine,IT Analyst
Joshua Hems,Software Developer
Rizwan Raja,Product Marketing Director- Ads at Facebook
Robson Rodrigues Junior,Growth & Equity at ZZ Ventures / MBA Candidate at Berkeley Haas
Aditya Y Pradhana,Chatbot Developer
Scott Shapiro,Experienced Creative Director with a demonstrated history of working in the entertainment industry. Skilled in Web Design- Visual Identity Design- Entrepreneurship- Event Management- and Social Media Marketing. Strong arts and design professional graduated from Visual Communication Desing Dept.
Jin Chang,Consulting on production cost - services and costs associated with marketing. Economic Projects. I also perform as a Cryptocurrencies Broker as Bitcoin in national and international markets: Surbitcoin- Surbtc- Foxbit (Venezuela- Chile and Brazil)- Bitfinex (USA) and Poloniex (EU).
Peter Njoroge,Founder & CEO at Simple Token
Paul Pereira,Founder and CEO of Lucid
Enes Kesk,Founder- CEO  at SaaS Innovation Labs
Louis Lao,CEO of Basecoin
Jason Goldberg,Civil Engineer
Jason Stirman,Systems Engineer
Jack O'Holleran,Founder- Investor- Business Development Manager
Nader Al-Naji,Engineer- Blockchain- Investor
Jestoni G. Elano,Software Developer
Limbert Arando Benavides,SEO FOBIR Group- investor
Martin T. Ledvinka,CTO at Dispatch Labs
Nikhil Bhaskar,Chief Information Security Officer of ShapeShift.io
Daniela Torrez Emiz,CEO at Ripio (BitPagos)
Vladimir Kovalev,Director- Sales & Business Development at Grayscale
Zane Witherspoon,Co-Founder & COO at Custos Media Technologies
Michael Perklin,CEO of Gem
Sebastian Serrano,CEO & Co-founder Safello
Michael Sonnenshein,CEO of Yours
Fred Lutz,CEO- Custos Media Technologies
Micah Winkelspecht,Product @ Airbnb
Frank Schuil,CEO of Tierion
Ryan X. Charles,Cofounder and CEO at Zeppelin Solutions
G-J van Rooyen,CEO & Founder at Enigma
Sean Safahi,CEO at Korbit
Wayne Vaughan,Co-founder and Executive Director at Coin Center
Demian Brener,Investment Associate at Digital Currency Group
Guy Zyskind,Early Bitcoin Investor
Tony Lyu,Co-founder of BTC Media
Jerry Brito,Director of Communications at Coin Center
Travis Scher,Chief Software Architect @ Fabric
Tuur Demeester,Co-founder of Blockstack
Andrew DeSantis,CEO
Neeraj Agrawal,CFO of Earn.com
Eric Martindale,Bitcoin Core Developer
Ryan Shea,Co-founder- Blockstack
Brian Hoffman,CEO of Yellow Card Financial- LLC
Lily Liu,Co-founder & CEO of Prasos
Jeremy Rubin,FinTech writer and Blockchain researcher
Muneeb Ali,Founder & CTO- Fuzo Ltd (HK) <> Advisor- RightsFusion P/L
Chris Maurice,Founder of Satoshicentre Botswana
Henry Brade,Founder & Chief Investment Officer- GRW Partners
Albert Szmigielski,Founder & CEO
Leon-Gerard Vandenberg,Founder and CEO at coincube.io
Alakanani Itireleng,CEO at Cryptobuyer.io
Matt Gelber,CEO of TokenMarket
Héctor Cárdenas,CEO- Founder OceanProtocol- BigchainDB- ascribe.io
Robert William Allen,Co-founder & President of Unocoin
Jorge Farias,Lightning Network
Ransu Salovaara,VP Technology- Skuchain
Bruce Pon,CEO - Genesis Global Trading
Sunny Ray,Managing Director- Atlantic Financial / founder Satoshi Roundtable
Joseph Poon,COO at Slush
Ranga Krishnan,VP Business Development BTC.com
Michael Moro,Technical Program Manager
Bruce Fenton,Bitcoin Blockchain Professional
Teemu Laurikainen,Co-founder & CEO- Satoshilabs
Alejandro De La Torre,Community @ Earn.com
Jennifer Macchiarelli,earn.com
Ageesen Sri,COO at Earn.com
Marek Slush Palatinus,Journalist
Will Binns,Leader
Addy Yeow,Entrepreneur. Speaker. Focused on Innovation and Blockchain.
John A. Granata,Founder
Luke Parker,COFOUNDER - CTO
Adam Locklin,Senior Strategy Associate @ R3
Ron Quaranta,Co Founder @ RiskBazaar
Michael Folkson,Founder & CEO
Karthikeyan Kaliyaperumal,Blockchain Specialist @ Deloitte
Cooper Schorr,Software Engineer at Earn.com
Alexandra Groetsema,Partner - MESH Labs
Bedeho Mender,Partner @ CoinFund
Shannon Steele,Cofounder Ledger
Eli Haims,Crypto Consultant; Member Services Director at Accord Network
Stephen Bell,Ethereum Blockchain Developer
Alex Felix,Crypto Currency Investor
Thomas France,Principal- CKC Partners and Venture Partner at Outlier
Jonathan Creasy,Quality Assurance Support Manager
Vikas Singh,Consultant
Jakraphan Saetiao,Fintech & Blockchain Strategist
Ratan S,IT/Admin/Sales
Raljoseph Ricasata,Finance and Strategy
Vikram Dhanuka,Developer
Mayank Singhal,Team Lead- Pre-Sales & Technical Implementation
Richard Sweat,Venture Capital Investor
John L. Connell,Comerciante
Kumar Anirudha,Founder & President
Daniil Saiko,Aspiring Unicorn Wrangler
Alexander Ruppert,ARCHITECT  |  DESIGNER  |  ENTREPRENEUR
Santiago Lumbreras,SEO Strategist|CEO|Founder - Web Marketing LLC
Allison Coleman,CEO
Pete Biggam,Cryptocurrency Investor
ALAN BORGER,CEO
Jared Schlar,Digital Marketing (Advertiser)
Sukma Richard,CEO of Redden Blue
Jeffrey Getaruelas Vellingan,Web- IT and Security Advisor | H/S QA Tester | Bitcore Team
Ebenezer Oyeodini,Co Founder- Resolve Disputes Online Technology Ltd
Tommy Afrialdi,IT Specialist
Msu Rubel,Founder & CEO @ Fulfilli
Davide Savo,Owner and Developer
Aditya Shivkumar,Blockchain Program Leader
Vincent  A. Kpalam,General Manager
Janis Sprenne,P2P Investor
Joe Mcdonald,Bitcoin and Altcoin Evangelist
Olivier SALOMON,Owner
Roland Schaub,Head of Product- Coins.ph
Adam,Co-Founder
Zark Muckerbarn,Business Development Director-Trader
Andreas Zeitler,Founder- CEO- & CTO of Cryptocracy.io
Colin Goltra,Principal Security Researcher
Wally Sajimi,Founder & CEO- Zastrin
Mohd Najib Amir Hamzah,Digital Consultant
Ty George,Software Engineer
Ryan Castellucci,IT & IoT security expert and researcher
Mahesh Murthy,To define yourself is to limit yourself
Danilo Rios,Bitcoin consultant Youtube video tutorials about cryptocurrencies
Ron Wullaert,Founder- Tokenly & Let's Talk Bitcoin!
Renaud Lifchitz,Gaming Analytics and Database Marketing Director
Leonardo Venuti,President
Pedro Rios,Founder / Influencer
Adam B. Levine,CTO of Yellow Card Financial
Dave Downing,investor
Ian T,CEO- Founder
Dennis Binnekade,Private Investor
Justin Poiroux,CTO
David J. Namdar,Founder / CEO
Ryan Hurst,Digital Entrepreneur- Executive & Investor. Passionate Leader w/ insatiable desire to inspire- share & learn
Michael Ansong,Bitcoiner. Coder. Adversarial thinker. Troll.
Michail Brynard,Entrepreneur- Investor- Crypto Capitalist- & Zcash Founding Investor
dean walsh,CEO at Coinsilium
Jochen Doppelhammer,Student- friendly- time free
Udi Wertheimer,Student and Founder
Branson Bollinger,Founder of velox.RE and the International Blockchain Real Estate Association
Eddy Travia,Founder/CEO
David Freitas,CEO @ 0301 Mining Farm & Bitcoin expert
Aidan Fox,Test Automation Expert/QA-Exploratory tester-Selenium/Appium/Api Testing
Ragnar Lifthrasir,Founder and CEO at Solar DAO
Thomas Olson,Technology Evangelist
Gianluca Mazza,Software Engineer
Arjun Bm,Founder- CEO & CTO - AlphaCoin Capital
Dmitriy Solodukha,Digital Media Design- Marketing- & Photography
Anthony Kent,Software Engineer
Ronn Marlowe Ranola,Founder BitRocket Capital
Joe Kunzler,I am the Founder and CEO of an energy Blockchain startup called Divvi. We aim to create more equitable renewable energy access using the power of smart contracts and the blockchain.
Adam Taylor,Data Scientist at EY
Joseph King,Sr. Director - CME Ventures
Joe Richards,Daily Trader
Matthew Hale,Designer/Developer/Project Manager
Pragith Prakash,Founder | Token Fest
Brandon Gath,CSO- Blockchain Strategist- Tokenly Inc
Armando Nogueira,Co-Founder & CTO
Alberto Bissacco,Data entry executive
Ryan Colby,Web Developer
Martin Rerak, CMA, CPA,injection molding process technician
Ber’Tram Law Jr.,Logistics Specialist and Istanbul- Turkey. I had 4 years experience in logistics and information technology. I have extensive knowledge of HTML5-CSS3- JavaScript and ASP.NET.
Sathish Narasiman,Project Lead at Agrello Foundation
Lisumi Mondeson,facebook user
Johnny Jakubczyk,Developer Advocate- Program Manager- Writer
Burak Yerli,Marketing Strategist
Hando Rand,Blockchain Projects Marketing Expert
Wong Tsz Ho,Head of Digital and Communications at Save the Children UK- The Start Network
Josh Cincinnati,ICO Strategist and Literary Agent
Munair Simpson,CEO and CO-Funder Meneruwa Design
Igor Kolokoltsev,Engineer- Entrepreneur
