Name, Title
Liam Horne,Thiel Fellow- Director of Engineering at Atomic
Paul Fletcher-Hill,CEO and Co-Founder at PatientBank
Pablo Gonzalez,CEO & Co-founder of Bitso
Ben E. Parr,Cofounder/CMO of Octane AI; Author of Captivology
Mike Belshe,CEO and Co-founder of Bitgo
Andy Bromberg,Founder and CEO at Sidewire
Bill Barhydt,CEO- Abra
Shawn Wilkinson,CEO/CTO of Storj Labs Inc.
Jaethan Reichel,CEO of Lightship Works
Boris Silver,Co-Founder and President- FundersClub
Bradley Kam,CEO of Talkable
Jon Stutfield,CEO  & Founder of Bliss
François Fournier,CEO and founder of Simitless
Robert P. Pelikan,CEO and Founder at rebloon.com
Michael S. Levy,Co-Founder & CEO at deliver.ee
Florian Wimmer,Co-Founder- CEO at Blockpit GmbH
Liz Steininger,CEO / Managing Director
Ertan Dogrultan,Co-Founder at SORU
Leszek Łuczyn,Creative freelancer
Jose Luis Roqueni,CEO & Co-founder of Genio. Tech Entrepreneur
Simon Chamorro,Head of sales at Liftit.co
Joshua Berk,Founder & CEO
Atit Danak,Engagement Lead. Corporate and Start-up Partnerships.
Kunal Bhatia,Co-founder & Design Lead
Jason Stirman,Founder and CEO of Lucid
Sven Mumenthaler,Co-Founder and CTO at swip.world | Swiss Innovation Pool AG
Everett Steele,Serial Startup Founder & Advisor
Enes Kesk,Experienced Creative Director with a demonstrated history of working in the entertainment industry. Skilled in Web Design- Visual Identity Design- Entrepreneurship- Event Management- and Social Media Marketing. Strong arts and design professional graduated from Visual Communication Desing Dept.
João de Paula,Co-Founder & CTO at Glio
John Harrington,CMO at Transpoco
Ashish Walia,Cofounder- COO at LawTrades.
Micah Winkelspecht,CEO of Gem
Chris Yim,CEO & Co-Founder at LibertyX
Timo Borreck,CTO at Barzahlen
Anthony Di Iorio,CEO & Founder at Jaxx and Decentral- Founder at Ethereum
Michael Moro,CEO - Genesis Global Trading
Chris Sternal-Johnson,Chief Technology Officer- Multibrain
Vincent Giersch,Co-Founder and CTO at Flat.io
Gilad Rotem,Founder of CUPS (cupsworks.com // cupsapp.com)
Matthew Basil Gardner,Co-Founder/Head of Product Videostream & RouteThis
Ben Wong,Cofounder @Hivemapper
Abhilash Inumella,Co-Founder and CEO at Samosa Labs
Kamel Laïmène,CTO at Urbangaming
Muneeb Ali,Co-founder- Blockstack
Leandro Araújo,Co-founder and CEO at Hometeka
Oliver Thylmann,Co-Founder & CCO @ Giant Swarm
Jeff Gorelick,VP Engineering at HouseCanary
Matt Mayberry,Head of Business Development at Dopamine Labs
Wells Riley,Head of Product & Design
Steffen Wachenfeld,Serial Entrepreneur- CPO in AdTech
Vladislav Supalov,CAO & Co-Founder
Peter Shi,Data Scientist- Co-founder of vTable- and Blogger at onepercentbettereveryday.com
Branson Bollinger,Entrepreneur- Investor- Crypto Capitalist- & Zcash Founding Investor
Jói Sigurdsson,Founder/CEO at CrankWheel
Terrence Maruna,Business Development
Norm Bond,Chief Digital Officer at www.NORMBOND.com
Elburz Sorkhabi,CEO @ function(core)- CTO @ nVoid / zero11zero
Ralf Gerteis,Entrepreneur | Interim Manager | Senior Advisor
Olivier Adler,Head of Finance at eero
David Deprez,CFO & Head of BD at Worldsensing- Founder of infoMesh- Gextech- Chrysalis and Appically
Ash Geria,Entrepreneur- Recruitment Thought Leader- and Chief Executive
Asaph Kim,Chief Design Officer at 3.14
Pratyush Gosain,Business Consultant at Microsoft
Tiffany Yu,Founder of Diversability. Social Entrepreneur. VC Advisor. Ex-Goldman Sachs.
George Athanasopoulos,Treasurer - Banker
Julian Haidner,Head of E-Commerce- caneus.eu
Richard Szikoi,CEO and CO-Funder Meneruwa Design
Thomas Schweizer-Bolzonello,CEO- CTO at Intelliance
Emmett Armstrong,Business Owner
Allison Coleman,Founder & President
Dylan Field,CEO & Co-founder at Figma- Inc.
Jared Beauchamp,CMO at Smart Rhino Labs
Ryan Munn,Founder of Interchain- LLC- a Vermont blockchain company
omar arambula,Chief Operations Officer at InstaSize
Sergio Mainetti Jr.,Director - Visionnaire
Paul Monasterio,CEO and Co-Founder at Kalepa
Arran Kitson,Strategy & Operations at Conjoule
Jay Milla,Founder- Executive Director- New Worlds Institute
Kenneth Cucchia,CEO & Co-founder @ Campus Credit
Arry Yu,COO at STORM Token
Kyle Langworthy,Principal
Erman Turan,Entrepreneur and happy
Kostas Labrinos,Crypto-currency enthusiast-cryptotrader
Matt Null,Co-Founder and CIO at Human Design
Alejandro Russo,Founder & CEO at KOI Global
Toby Rosen,Founder of Rosen Advertising
David Hua,CEO and Co-Founder
shirajdesilva,Fintech Startup Founder
Kevin Raheja,Director of Strategic Partnerships- HubSpot. Investor. Advisor.
Jongmok Steven Sin,CMO
Jim Andersen,Founder- Greybox Group
Chris Ensey,Founder of Binnacle.  Expertise in blockchain and cybersecurity.
Renato Steiner,Entrepreneur / Craftsman Hacker
Jan Sammut,CEO at RefToken
William Hart,Co-founder & Head of Operations at Access Watch
Amit Gir,CMO at Phox Health & Hospitalist at Kaiser
Scott Burgess,CEO at Continu
Alan McKendry,Strategy | Sales | Technology | Investment | Blockchain
Tony Urban,CEO- co-founder of GoCarrot
Kent Rollins,CEO and Founder of Candid Campus Tours
Josh Mountain,CTO / Web Developer
Thomas Brown,CTO
Martin Rerak, CMA, CPA,CSO- Blockchain Strategist- Tokenly Inc
Kelly Kampen,Entrepreneur- Growth Hacker
Leonardo Venuti,To define yourself is to limit yourself
Mohsin Siddiqui,Sr. Business Development Manager
Josh Swihart,Founder and CTO
Scott Downes,Chief Technology Officer
Richard L Hilger Jr,Design Engineer / Entrepreneur
Douglas Carrillo,Founder
Michail Brynard,CTO
Jesslyn Phoon,Software Engineering
Nick Redmark,Head of Local Search
Nigel Mark Dias,Designer/Developer/Entrepreneur
Shawn Zvinis,Co-founder & CEO of Chameleon
Pulkit Agrawal,VP of Growth at Advisor Websites
