Name, Title
Matthew Roszak,Co-Founder & Chairman at Bloq
Adam Back,CEO and Cofounder of Blockstream
Naval Ravikant,Cofounder and CEO- AngelList
Pete Rizzo,Editor for Coindesk
Zooko Wilcox,Founder & CEO- Zcash
Erik Voorhees,CEO of ShapeShift.io
Kathleen Breitman,Cofounder and CEO of Tezos
Brayton Key Williams,Co-founder at Boost VC
Dan Elitzer,Blockchain and Digital Identity Lead at IDEO
Bill Barhydt,CEO- Abra
Mike Belshe,CEO and Co-founder of Bitgo
Brian Armstrong,CEO and Co-founder of Coinbase
Stephen Pair,Cofounder- President- and CEO at Bitpay
Preston J Byrne,Independent Consultant
Lisa Cheng,Founder
Olaf Carlson-Wee,Founder of Polychain Capital
Campbell Harvey,Professor of Finance- Duke University
Andrew Lee,CEO of Purse.io
Jameson Lopp,Software Engineer
Justin W Newton,CEO and Founder of Netki
Sergio Demian Lerner,Chief Scientist- RSK Labs
Eric Piscini,Principal at Deloitte
Ron Hose,Founder and CEO at Coins.ph
Bobby Lee,CEO & Co-Founder- BTCC
Brendan Eich,Associate in the Financial Institutions Group of Davis Polk- a law firm
Hudson Jameson,Cofounder at Chainalysis
Reuben Grinberg,Director of Research at Coin Center
Rouven Heck,CFO of Earn.com
Jonathan Levin,CEO of South African Central Depository
Peter Van Valkenburgh,CEO- Founder OceanProtocol- BigchainDB- ascribe.io
Lily Liu,Director of Innovation at Banco Santander
Monica Singer,Head of Unit- Startups and Innovation- Digital Single Market- European Commission
Bruce Pon,Enterprise Blockchain Strategist at Deloitte
John Whelan,Co-founder- Blockstack
Pēteris Zilgalvis,Cofounder and CEO at Zeppelin Solutions
Soumak Chatterjee,Co-founder and Executive Director at Coin Center
Muneeb Ali,CEO of Credit Dream
Demian Brener,Co-founder of Blockstack
Jerry Brito,CEO at Ripio (BitPagos)
Edmilson Rodrigues,CEO of Yours
Ryan Shea,CEO at Korbit
Sebastian Serrano,CEO of Gem
Ryan X. Charles,co-founder- homies.io
Tony Lyu,Co-founder & President of Unocoin
Micah Winkelspecht,CEO of Tierion
Christopher Pruijsen,CEO - Genesis Global Trading
Sunny Ray,Co-Founder & CEO
Wayne Vaughan,FinTech Senior Analyst- Corporate Dev. at BNY Mellon
Michael Moro,CEO and Co-Founder- Bitt
John Gerryts,Founder and CEO- Digital Currency Group
Allison Paz,Managing Director- CoinDesk
Gabriel Abed,Director of Marketing at Coindesk
Barry Silbert,Markets reporter at MarketWatch
Ryan Selkis,Head of GDAX
Jacob Cohen Donnelly,Head of Strategy - Dash Core Team  (cryptocurrency)
Ryan Vlastelica,Principal - Naspers Ventures (Early Stage Investments)
Adam White,Cofounder- RRE Ventures
Alexander Chopan,Co-founder & Managing Partner at Scalar Capital
Samuel Harrison,Partner at Fenbushi Capital
Jim Robinson,Bitcoin Donation platform KIZUNA founder/ Gracone Inc.CEO / Miss Bitcoin Japan
